<Header file>
"software";"created";"content";"1";
"(aixmParser v2.26.4) ";"2021-06-25T14:09:58.320220";"airspacesCatalog";{"srcAixmFile": "../AIXM4.5_all_FR_OM_2021-06-17.xml", "srcAixmOrigin": "Sia-France", "srcAixmVersion": "4.5", "srcAixmCreated": "2021-05-06T14:48:09.497+02:00", "srcAixmEffective": "2021-06-17T00:00:00.000+02:00"};

<Content>
"zoneType";"groupZone";"vfrZone";"vfrZoneExt";"freeFlightZone";"freeFlightZoneExt";"excludeAirspaceNotCoord";"excludeAirspaceNotFfArea";"geometryType";"excludeAirspaceByFilter";"excludeAirspaceByAlt";"excludeAirspaceByRef";"deltaExt";"potentialFilter4FreeFlightZone";"orgName";"keySrcFile";"GUId";"UId";"id";"srcClass";"srcType";"srcCodeActivity";"srcLocalType";"srcCodeMil";"srcCodeLocInd";"srcName";"class";"type";"codeActivity";"name";"nameV";"desc";"Mhz";"activationCode";"activationDesc";"timeScheduling";"declassifiable";"seeNOTAM";"exceptSAT";"exceptSUN";"exceptHOL";"groundEstimatedHeight";"lowerMin";"lower";"lowerM";"ordinalLowerMinM";"ordinalLowerM";"upperMax";"upper";"upperM";"ordinalUpperMaxM";"ordinalUpperM";"WarningValDistVerLower";"WarningValDistVerUpper";"lowerType";"lowerValue";"lowerUnit";"lowerTypeMnm";"lowerValueMnm";"lowerUnitMnm";"upperType";"upperValue";"upperUnit";"lowerTypeMax";"lowerValueMax";"lowerUnitMax";"use4cfd";
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560463";"LFRH";"";"TMA";;;;;"LORIENT";"G";"TMA";;"LORIENT";"TMA LORIENT";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560469";"LFSX";"";"TMA";;;;;"LUXEUIL";"G";"TMA";;"LUXEUIL";"TMA LUXEUIL";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560475";"LFSI";"";"TMA";;;;;"SAINT DIZIER";"G";"TMA";;"SAINT DIZIER";"TMA SAINT DIZIER";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560477";"LFMI";"";"CTR";;;;;"ISTRES";"G";"CTR";;"ISTRES";"CTR ISTRES";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560479";"CTA4778";"";"CTA";;;;;"RHONE";"G";"CTA";;"RHONE";"CTA RHONE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560493";"LFLS";"";"CTR";;;;;"GRENOBLE";"G";"CTR";;"GRENOBLE";"CTR GRENOBLE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560519";"LFMU";"";"CTR";;;;;"BEZIERS";"G";"CTR";;"BEZIERS";"CTR BEZIERS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560523";"LFMD";"";"CTR";;;;;"CANNES";"G";"CTR";;"CANNES";"CTR CANNES";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560525";"LFLB";"";"CTR";;;;;"CHAMBERY";"G";"CTR";;"CHAMBERY";"CTR CHAMBERY";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560527";"LFRD";"";"CTR";;;;;"DINARD";"G";"CTR";;"DINARD";"CTR DINARD";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560539";"LFMN";"";"CTR";;;;;"NICE";"G";"CTR";;"NICE";"CTR NICE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560541";"LFBI";"";"CTR";;;;;"POITIERS BIARD";"G";"CTR";;"POITIERS BIARD";"CTR POITIERS BIARD";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560545";"LFLN";"";"CTR";;;;;"SAINT-YAN";"G";"CTR";;"SAINT-YAN";"CTR SAINT-YAN";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560547";"FMEE";"";"TMA";;;;;"LA REUNION";"G";"TMA";;"LA REUNION";"TMA LA REUNION";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560557";"LFST";"";"CTR";;;;;"STRASBOURG";"G";"CTR";;"STRASBOURG";"CTR STRASBOURG";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560563";"LF219";"";"D-OTHER";;"PJE";;;"219";"Q";"PJE";"PARACHUTE";"Saut/Jump 219";"PJE Saut/Jump 219 (PARACHUTE)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560645";"LFRN";"";"TMA";;;;;"RENNES";"G";"TMA";;"RENNES";"TMA RENNES";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560647";"LFST";"";"TMA";;;;;"STRASBOURG";"G";"TMA";;"STRASBOURG";"TMA STRASBOURG";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560649";"LFBO";"";"TMA";;;;;"TOULOUSE";"G";"TMA";;"TOULOUSE";"TMA TOULOUSE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560653";"LFLN";"";"TMA";;;;;"SAINT-YAN";"G";"TMA";;"SAINT-YAN";"TMA SAINT-YAN";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560655";"LFBZ";"";"TMA";;;;;"BIARRITZ";"G";"TMA";;"BIARRITZ";"TMA BIARRITZ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560657";"LFLB";"";"TMA";;;;;"CHAMBERY";"G";"TMA";;"CHAMBERY";"TMA CHAMBERY";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
